终端设备消费者信息汇总-应用市场下载安装日志,DWS_DEVICE_INFO_HISPACE_DOWN_INSTALL_DM
终端设备消费者信息汇总-应用市场操作日志,DWS_DEVICE_INFO_HISPACE_OPER_LOG_DM
应用市场TOP1000关键字搜索信息,DWS_HISPACE_KEYWORDS_SEARCH_TOP1000_DM
终端设备消费者业务使用日快照,DWS_DEVICE_SERVICE_USAGE_DM
云服务消费者登录帐号关系历史,DWD_CUST_LOGIN_ACCT_REAL_DS
终端设备消费者信息汇总-打点采集,DWS_DEVICE_INFO_BISDK_DM
终端设备消费者信息汇总-内容,DWS_DEVICE_INFO_CONTENT_DM
终端设备消费者信息汇总-广告,DWS_DEVICE_INFO_ADV_DM
云服务消费者花瓣统计日快照,DWD_CUST_PETAL_STATISTICS_INFO_DM
云服务消费者业务使用日快照,DWS_UP_SERVICE_USAGE_DM
云服务消费者设备绑定日快照,DWD_CUST_USER_DEVICE_BIND_DM
云服务消费者账户关系历史,DWD_CUST_UP_ACCT_RELA_DS
终端设备消费者信息日快照,DWS_DEVICE_INFO_DS
花粉消费者统计信息日快照,DWD_CUST_FANS_STATISTICS_INFO_DM
云服务消费者应用产品统计信息,DWS_UP_APP_STATISTICS_INFO_DM
终端设备消费者应用产品统计信息,DWS_DEVICE_APP_STATISTICS_INFO_DM
终端设备消费者唯一编号映射表,DWD_COMMON_DEVICE_MAPPING
终端设备消费者地域信息日快照,DWS_DEVICE_AREA_INFO_DM
营销任务明细信息日快照,DWD_CAMP_TASK_DETAIL_DM
安装包包名业务对照表,DWD_COMMON_APK_PKGNAME_MAPPING
应用市场产品信息汇总,DWS_HISPACE_APP_INFO_DM
花粉论坛统计信息汇总,DWS_FANS_FORUM_STATISTICS_INFO_DM
华为视频内容信息汇总,DWS_HWMOVIE_CONTENT_INFO_DM
消费者群组类型代码表,DWD_COMMON_GROUP_TYPE_CODE
消费者关系类型代码表,DWD_COMMON_CUST_RELA_TYPE_CODE
消费者状态类型代码表,DWD_COMMON_CUST_STATUS_TYPE_CODE
消费者特征类型代码表,DWD_COMMON_CUST_FEATURE_TYPE_CODE
渠道服务关系参数表,DWD_COMMON_CHANNEL_SERVICE_MAPPING
渠道应用关系参数表,DWD_COMMON_CHANNEL_SERVICE_MAPPING
产品特征类型代码表,DWD_COMMON_PROD_FEATURE_TYPE_CODE
产品状态类型代码表,DWD_COMMON_PROD_STATUS_TYPE_CODE
华为终端消费者历史,DWD_CUST_HW_DEVICE_INFO_DS
产品关系类型代码表,DWD_COMMON_PROD_RELA_TYPE_CODE
识别信息类型代码表,DWD_COMMON_IDEN_INFO_TYPE_CODE
账户激活状态代码表,DWD_COMMON_ACCT_ACTIVE_STATUS_CODE
重要日期类型代码表,DWD_COMMON_IMP_DATE_TYPE_CODE
