论坛当日访问用户数（UV）,_forum_uv
论坛累计访问用户数（UV）,_forum_sum_uv
论坛当日浏览次数（PV）,_forum_pv
论坛累计浏览次数（PV）,_forum_sum_pv
当日调用支付接口次数,_pay_apis
累计调用支付接口次数,_sum_pay_apis
当日调用推送接口次数,_push_apis
累计调用推送接口次数,_sum_push_apis
当日调用帐号接口次数,_up_apis
累计调用帐号接口次数,_sum_up_apis
应用市场开发应用编号,_Dev_App_Id
传出成功的传出设备,_TS_Out
传入成功的传入设备,_TS_In
360收录推广渠道,_360
百度移动应用渠道,_Baidu
开机6小时上报标记,_Start_6th_Hours_Report_Info
华为帐号激活时间,_Start_Time
最近30天活跃天数,_Active_Days_Month
自定义代码标志,_Code_Flg
当日支付次数,_Pay_Cnt
当日支付金额,_Pay_Amt
来源HOTA标志,HOTA_AREA_FLG
来源GPS标志,GPS_AREA_FLG
终端设备消费者编号,_IMEI
映射到消费者编号,_Cust_Id_Map
映射关系类型分区,Pt_Type
可使用天际通标志,_Skytone_Flg
终端设备唯一编号,_Did
应用市场产品编号,_Hispace_App_Id
云服务消费者编号,_UP_ID
花粉管理员编号,_Fans_Manager_Up_Id
与应用市场一致,_Hispace_info
应用市场客户端,_hispace_Client
应用市场portal端,_hispace_Portal
开机6小时上报标记,Start_6th_Hours
消费者登录帐号,_Login_Acct
无病毒产品标志,_Virus_Flg
邀请消费者编号,_Invite_up_id
有效开发者标志,Dev_Valid_Flg
花粉消费者编号,_Fans_user_id
应用开发者编号,_UP_ID
应用开发者编号,_dev_up_id
主题开发者编号,_dev_up_id
应用市场MW端,_hispace_MW
设备外部型号,_Device_name
设备内部型号,_Inside_name
终端设备编号,_IMEI
准实名开发者,_Dev_Realname
推送产品编号,_Push_app_id
推广应用编号,_Push_app_id
花粉论坛编号,_Fans_Forum_Id
独立游戏中心,_Game
融合游戏中心,_Con_Game
数据来源分区,_Pt_Src
开机激活时间,_Start_Time
投放结束时间,_End_Time
投放时间,_Start_Time
取消传输设备,_TS_Cancel
华为手机助手,_HiSuite
应用更新下载,_renew
发起传输过程,_TS_Start
操作类型分区,_Pt_Oper_Type
发货箱单编号,_Packing_List_Id
手机后壳颜色,_Rear_Cover_Color
上报行政区划,_region
