开发者应用API调用汇总累计表,Dws_Service_Dev_App_Api_Dt
开发者应用API调用汇总日表,Dws_Service_Dev_App_Api_Dm
PUSH应用消息汇总日表,Dws_Service_Push_Mc_Dm
应用市场搜索日志汇总日表,Dws_Service_Hispace_Search_Dm
联盟广告业务操作汇总日表,Dws_Service_Allian_Adv_Oper_Dm
设备业务版本活跃汇总日表,Dws_Device_Service_Ver_Active_Dm
华为视频播放内容汇总日表,Ads_Service_Hwmovie_Play_Content_Dm
帐号业务支付汇总累计表,Dws_Up_Service_Trade_Dt
设备业务支付汇总累计表,Dws_Device_Service_Trade_Dt
客户端下载安装汇总日表,Dws_Service_Client_Down_Install_Dm
帐号业务支付汇总日表,Dws_Up_Service_Trade_Dm
帐号业务支付汇总月表,Dws_Up_Service_Trade_Mm
社交平台聊天汇总日表,Ads_Service_Sns_Chat_Dm
设备应用使用汇总日表,Dws_Device_App_Usage_Dm
帐号业务活跃汇总日表,Dws_Up_Service_Active_Dm
设备业务支付汇总日表,Dws_Device_Service_Trade_Dm
设备业务支付汇总月表,Dws_Device_Service_Trade_Mm
应用市场操作汇总日表,Dws_Service_Hispace_Oper_Dm
设备业务活跃汇总日表,Dws_Device_Service_Active_Dm
PUSH营销汇总日表,Dws_Service_Push_Campaign_Dm
应用升级操作汇总日表,Dws_Service_App_Upgrade_Oper_Dm
生活服务支付汇总日表,Dws_Service_LifeService_Trade_Dm
穿戴设备使用汇总日表,Ads_Service_Wear_Device_Usage_Dm
支付多维汇总累计表,Dws_Service_Olap_Trade_Dt
游戏券支付汇总日表,Dws_Service_Game_Coupon_Trade_Dm
业务支付汇总日表,Dws_Service_Trade_Dm
业务支付汇总月表,Dws_Service_Trade_Mm
业务活跃汇总日表,Dws_Service_Active_Dm
业务活跃汇总月表,Dws_Service_Active_Mm
支付多维汇总日表,Dws_Service_Olap_Trade_Dm
支付多维汇总月表,Dws_Service_Olap_Trade_Mm
主题下载汇总日表,Ads_Service_Theme_Down_Dm
主题支付汇总日表,Dws_Service_Theme_Trade_Dm
